,OBS_ID,TIMETAG,ARNUMBER,LOC,LATD,LOND,LONH,AREA,Z,LL,NN,MAGTYPE,OBS,Timetag
0,0.0,2001-01-02 00:00:00,9283,S-11W54,-11,58,0.0,70,CAO,0.0,0.0,BETA,HOLL,2001-01-01 17:25:00
1,0.0,2001-01-03 00:00:00,9283,S-13W68,-13,72,0.0,50,CAO,0.0,0.0,BETA,HOLL,2001-01-02 17:33:00
2,0.0,2001-01-04 00:00:00,9283,S-12W79,-12,83,0.0,20,AXX,0.0,0.0,ALPHA,HOLL,2001-01-03 16:30:00
3,0.0,2001-01-02 00:00:00,9289,S-07E-06,-7,-2,0.0,720,EKI,0.0,0.0,BETA-GAMMA,HOLL,2001-01-01 17:25:00
4,0.0,2001-01-03 00:00:00,9289,S-07W07,-7,11,0.0,710,EKI,0.0,0.0,BETA-GAMMA,HOLL,2001-01-02 17:33:00
5,0.0,2001-01-04 00:00:00,9289,S-08W21,-8,25,0.0,480,EKI,0.0,0.0,BETA-GAMMA,HOLL,2001-01-03 16:30:00
6,0.0,2001-01-05 00:00:00,9289,S-07W35,-7,40,0.0,480,EKI,0.0,0.0,BETA-GAMMA,HOLL,2001-01-04 16:11:00
7,0.0,2001-01-06 00:00:00,9289,S-07W48,-7,53,0.0,380,EKI,0.0,0.0,BETA,HOLL,2001-01-05 15:25:00
8,0.0,2001-01-07 00:00:00,9289,S-03W65,-3,70,0.0,330,DAO,0.0,0.0,BETA,RAMY,2001-01-06 15:10:00
9,0.0,2001-01-08 00:00:00,9289,S-06W80,-6,84,0.0,180,CSO,0.0,0.0,BETA,HOLL,2001-01-07 16:34:00
10,0.0,2001-01-09 00:00:00,9289,S-07W84,-7,98,0.0,90,DSO,0.0,0.0,BETA,LEAR,2001-01-08 00:25:00
11,0.0,2001-01-02 00:00:00,9290,N29W28,29,32,0.0,30,CAO,0.0,0.0,BETA,HOLL,2001-01-01 17:25:00
12,0.0,2001-01-03 00:00:00,9290,N27W46,27,50,0.0,20,HSX,0.0,0.0,ALPHA,HOLL,2001-01-02 17:33:00
13,0.0,2001-01-04 00:00:00,9290,N28W57,28,61,0.0,20,AXX,0.0,0.0,ALPHA,HOLL,2001-01-03 16:30:00
14,0.0,2001-01-05 00:00:00,9290,N28W60,28,73,0.0,20,AXX,0.0,0.0,ALPHA,LEAR,2001-01-04 01:45:00
15,0.0,2001-01-02 00:00:00,9291,S-13W04,-13,8,0.0,110,CAO,0.0,0.0,BETA,HOLL,2001-01-01 17:25:00
16,0.0,2001-01-03 00:00:00,9291,S-13W16,-13,20,0.0,100,CSO,0.0,0.0,BETA,HOLL,2001-01-02 17:33:00
17,0.0,2001-01-04 00:00:00,9291,S-12W31,-12,35,0.0,60,CSO,0.0,0.0,BETA,HOLL,2001-01-03 16:30:00
18,0.0,2001-01-05 00:00:00,9291,S-12W47,-12,52,0.0,50,HAX,0.0,0.0,ALPHA,HOLL,2001-01-04 16:11:00
19,0.0,2001-01-06 00:00:00,9291,S-13W58,-13,63,0.0,80,HSX,0.0,0.0,ALPHA,HOLL,2001-01-05 15:25:00
20,0.0,2001-01-07 00:00:00,9291,S-13W72,-13,77,0.0,60,HSX,0.0,0.0,ALPHA,RAMY,2001-01-06 15:10:00
